locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMOp36x014		perfect	0.446666017790747	7.57350079445579e-13	2.58868321581664e-08	0.219258027877563	1.0179867787045e-17	1.33388698373115e-18	0.329093978124612	0.00446959872919935	1.1025303514084e-06
ZMO1_ZMOp36x015		perfect	0.0915561357982278	1.52030780726708e-21	1.23768170194827e-19	0.137166905693464	3.75874701083175e-33	1.29339189700469e-39	0.974240785604777	1.44858280796311e-07	6.14673238102631e-15
ZMO1_ZMOp36x016		perfect	0.249631434933676	7.51207224874374e-12	9.492580165711e-17	0.493708511235597	2.87184804057424e-11	1.01613019140318e-19	0.367869297836989	0.894667864816146	2.12787530555854e-05
ZMO1_ZMOp36x017		perfect	0.958326986521122	1.80262891067166e-14	2.26193438330796e-15	0.105022451443468	2.84240997212972e-20	4.56465491205238e-23	0.498064577582952	4.0888383529192e-07	3.3660122622401e-18
ZMO1_ZMOp36x018		perfect	0.947130949341224	1.3795811862129e-12	7.27375801646947e-15	0.51978044342417	6.70944841547059e-19	1.21566980841924e-25	0.950126162291406	0.0877289643455126	2.65008159269435e-05
ZMO1_ZMOp36x019		perfect	0.544681344796219	2.85861798165269e-12	9.64374394014603e-12	0.232636182026394	4.10152385878184e-13	4.16357950038599e-15	0.529313512755756	0.20320577435151	0.02352143558919
ZMO1_ZMOp36x020		perfect	0.711862909072867	2.92049528546369e-14	3.9383935919119e-17	0.33933074043102	5.83019772289305e-17	1.82078335936918e-21	0.989968674099428	0.520765935430354	0.0932743549102697
ZMO1_ZMOp36x021		perfect	0.284365583446802	1.74799698698132e-12	9.84153105500624e-13	0.511455231175173	5.38194444637067e-11	1.89551104646494e-14	0.559954306219593	0.000111245635675329	6.80533762036712e-13
ZMO1_ZMOp36x023		perfect	0.723500973867229	8.25853865401586e-06	1.76617946795731e-14	0.39355459041832	8.18492364423425e-11	1.55463652076188e-19	0.410736198703611	0.0163358340218772	0.00416099679567826
ZMO1_ZMOp36x024		perfect	0.433798574464535	5.00608801108839e-21	1.79705166811254e-28	0.888658127095933	1.59321965067706e-06	4.70319624380807e-13	0.574341922563697	1.09065072415636e-09	2.59589532309442e-10
ZMO1_ZMOp36x025		perfect	0.0842015098865349	4.4400722687398e-11	2.57188796341121e-10	0.423167744340642	5.73154583807033e-15	2.71344542797433e-24	0.903777416470063	0.00918041274068266	2.2706621344848e-09
ZMO1_ZMOp36x027		perfect	0.980307119463694	5.33278107683648e-05	0.0233636531580879	0.986181320620681	0.000101738994248418	6.75723779088763e-05	0.789755723615545	0.444302139442254	0.00360436191556214
