locus_tag	gene_name	type	aerobic_T1 - aerobic_T0	aerobic_T2 - aerobic_T0	aerobic_T3 - aerobic_T0	anaerobic_T1 - anaerobic_T0	anaerobic_T2 - anaerobic_T0	anaerobic_T3 - anaerobic_T0	aerobic_T1 - anaerobic_T1	aerobic_T2 - anaerobic_T2	aerobic_T3 - anaerobic_T3
ZMO1_ZMO0957	cytB	perfect	-0.101076790989066	-0.64372550902337	-0.719382295386776	-0.0616788376430341	-0.17310061235009	-0.690877671442395	-0.137659660446925	-0.100814190079037	0.250751396406603
ZMO1_ZMO0958	petC	perfect	-0.0158904027322776	0.0205579848877004	-0.00136884636547635	-0.0347867946225062	-0.0195364017522138	-0.163072899373222	-0.0303142162257585	0.0287619262175186	0.128468675375867
ZMO1_ZMO0959	.	perfect	-0.0956775903262379	-0.226900695729215	-0.117415273751466	0.0145589226102227	0.0542531342366388	-0.0368752890349933	-0.229378605879118	-0.265699405980455	-0.262354546348589
ZMO1_ZMO0961	cccA2	perfect	-0.0252259142348802	-0.101196301697984	-0.0984583694959317	-0.0212123307600486	0.0197868581117754	-0.244268157326487	-0.0215788465282883	-0.152150251654388	0.090666174706468
ZMO1_ZMO0962	nagA	perfect	-0.035216449611414	-0.190314605507769	-0.286209633896143	-0.107916575617435	-1.77312804752956	-2.76398209466494	0.0813585263871787	1.55704615078916	2.46256352784044
ZMO1_ZMO0963	.	perfect	-0.0063312028373113	-0.265141103101513	-0.511687321481652	-0.0247487546036845	-1.21864630509347	-1.91403838519648	-0.076187386449496	0.870129912447168	1.1930110271952
ZMO1_ZMO0964	.	perfect	-0.0394454480784829	-0.0436145395809792	0.570483000854271	-0.104933588761863	-0.458072990626995	-0.296968815433802	-0.050378360358586	0.334895731745003	0.819126794784345
ZMO1_ZMO0965	.	perfect	-0.172109225868286	-0.328374219171639	0.437832610252639	-0.190262412227269	-0.805562591397602	-0.950361846012435	-0.0451375622925537	0.329855373691816	1.19417272601325
ZMO1_ZMO0966	emrB	perfect	-0.0678479616696502	-0.110212472361464	0.298912719158909	-0.0828671526242633	-0.215976829939769	-0.379187370910279	-0.0650187418886384	0.194169050607839	0.59180675451488
ZMO1_ZMO0967	.	perfect	-0.0726068380843049	-0.236528904987711	-0.297754423600713	-0.0669906576688748	-0.0366475550410929	-0.0713408154785892	-0.107449880435193	-0.355221501049699	-0.349751896842188
